Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Chicken Feet,Chicken Wings,Dried Fish Sardine,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose","Groundnut oil: 1 bottle, specify bottle",Iced Sardine,Irish potato,Mackerel : frozen,Maize grain white sold loose,Maize grain yellow sold loose,Mudfish (aro) fresh,Mudfish : dried,Onion bulb,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Tomato,"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),Yam tuber,period,Year,Usd rate
456.81,41.3,318.99,285.74,1021.84,1257.58,302.59,275.89,370.3,1002.53,1709.8,1499.7,670.87,874.72,1381.57,159.61,186.15,1901.64,154.55,172.23,557.51,913.41,268.57,921.47,141.75,142.19,978.23,1762.5,203.54,457.49,220.42,204.02,322.1,290.16,326.4,371.13,142.0,813.43,952.31,227.5,486.9,664.02,190.23,Sep-19,2019-09-28,306.92
462.46,40.51,308.93,292.0,1025.69,1281.59,296.56,278.66,371.89,1004.38,1697.55,1494.81,659.6,880.9,1397.91,159.51,187.44,1993.98,162.42,175.57,562.59,925.05,264.29,938.02,142.25,138.74,979.2,1741.27,202.88,464.7,208.69,200.11,340.27,303.69,339.78,382.57,138.46,815.55,956.75,233.38,502.34,675.3,179.75,Oct-19,2019-10-28,306.96
463.91,41.18,307.3,284.65,1026.24,1293.0,299.59,280.51,396.86,1027.76,1723.23,1501.28,686.71,893.0,1423.23,157.21,183.56,2008.39,160.06,181.32,580.03,956.79,289.23,951.67,149.63,151.65,1002.74,1756.42,226.06,466.93,218.01,203.49,384.04,344.01,378.5,445.45,146.58,859.55,975.39,251.21,512.53,673.48,203.2,Nov-19,2019-11-28,306.95
457.8,40.72,299.48,281.6,1045.86,1292.52,304.06,277.79,406.94,1043.41,1732.45,1507.39,699.06,915.62,1444.94,157.89,184.8,1995.58,159.39,183.26,580.45,969.6,304.46,953.29,151.88,153.0,1010.99,1774.96,240.55,469.43,213.04,204.3,390.18,345.94,381.68,459.9,147.46,884.07,981.21,263.9,516.29,676.2,206.82,Dec-19,2019-12-28,306.95
454.17,40.17,285.61,268.8,1031.53,1289.8,302.45,276.26,409.31,1025.13,1720.55,1502.48,685.98,909.31,1454.59,157.11,185.63,1983.14,159.64,182.19,571.88,964.4,281.09,946.05,148.86,149.62,1000.41,1758.76,225.83,457.59,206.17,197.06,382.21,338.58,381.42,453.24,141.23,870.06,962.96,237.22,515.48,672.79,193.04,Jan-20,2020-01-28,306.96
448.26,39.29,276.3,255.25,1035.38,1279.6,303.06,275.2,404.32,1022.84,1713.3,1496.07,684.5,922.52,1440.71,150.54,183.81,1948.59,159.33,186.35,572.36,961.21,286.21,932.21,150.15,151.53,992.95,1764.13,231.6,457.31,207.82,201.83,377.69,334.11,373.16,444.04,141.34,863.29,948.14,241.78,520.95,668.01,189.53,Feb-20,2020-02-28,306.96
461.15,39.9,267.81,241.74,1025.48,1276.1,304.6,278.79,390.54,1027.3,1711.32,1501.97,691.7,920.52,1432.95,153.37,183.12,1941.04,164.6,192.41,583.22,960.69,301.24,928.27,150.78,150.97,991.44,1742.72,236.36,451.37,220.91,218.05,369.89,313.1,368.36,438.66,149.46,854.86,960.47,255.33,530.85,674.14,206.12,Mar-20,2020-03-28,326.63
476.72,41.54,277.05,250.33,1047.12,1307.68,316.55,288.45,408.05,1048.9,1724.52,1524.8,711.61,935.6,1447.58,160.98,190.17,1958.1,190.23,211.83,601.03,987.1,309.85,953.14,165.83,166.42,1004.18,1762.88,227.59,464.08,236.49,230.2,393.34,342.49,394.56,471.84,153.89,870.49,986.88,277.0,551.92,692.6,230.09,Apr-20,2020-04-28,361.0
462.46,40.84,277.49,251.43,1053.47,1306.47,315.0,285.17,405.58,1044.13,1709.24,1523.47,701.66,929.24,1445.67,161.16,190.0,1944.56,196.16,222.25,601.14,994.47,304.6,959.22,167.88,169.75,997.39,1751.08,221.4,463.5,226.36,218.81,389.77,344.91,392.54,463.21,154.62,860.95,1004.66,278.23,554.77,698.45,236.9,May-20,2020-05-28,361.0
472.83,42.18,289.89,259.39,1069.85,1317.04,320.1,284.51,420.31,1058.9,1722.18,1529.88,712.19,948.24,1455.32,162.85,191.71,1950.47,214.73,241.58,620.31,1008.23,324.81,976.99,178.26,181.9,1005.84,1744.34,233.24,473.75,245.86,238.58,394.57,347.54,400.73,479.74,171.94,872.94,1018.79,294.46,568.5,707.31,250.7,Jun-20,2020-06-28,361.0
474.12,42.45,300.26,268.38,1075.68,1330.83,318.56,287.74,426.36,1061.25,1677.22,1536.03,715.89,953.89,1466.13,163.74,193.03,1955.54,222.47,255.1,623.09,1005.46,328.07,989.44,190.0,191.64,1009.02,1743.76,238.65,486.25,245.04,237.18,405.97,362.97,410.69,490.44,177.17,872.74,1021.08,304.01,576.89,712.95,256.44,Jul-20,2020-07-28,377.19
478.97,42.78,305.43,274.8,1064.27,1339.74,312.74,283.97,429.81,1056.58,1711.18,1526.12,724.19,940.13,1466.66,162.23,194.11,1948.12,224.53,253.02,626.69,1005.58,320.45,997.01,189.53,192.43,1002.45,1742.48,241.97,499.67,242.78,233.5,413.13,375.08,415.43,501.71,173.11,855.5,1022.7,289.86,583.76,718.39,256.06,Aug-20,2020-08-28,381.0
480.76,42.9,312.66,284.87,1070.44,1351.66,318.11,291.04,442.77,1053.62,1718.53,1529.47,715.44,962.13,1477.56,163.8,195.58,1931.95,235.77,263.57,633.39,1022.67,309.1,1004.58,196.98,201.33,1006.22,1751.89,244.75,505.32,244.37,236.28,425.79,390.68,423.04,516.13,165.3,858.54,1032.75,286.92,589.28,730.23,245.62,Sep-20,2020-09-28,381.0
487.81,43.72,326.88,300.37,1083.35,1380.14,322.61,298.73,452.21,1063.5,1728.81,1535.5,720.5,972.26,1479.87,164.35,195.03,1932.96,244.96,275.01,646.04,1028.48,318.96,1015.06,202.24,204.73,1016.97,1760.9,270.6,515.26,240.64,225.83,434.41,400.47,434.96,530.32,163.51,869.77,1051.36,307.63,602.96,740.89,242.87,Oct-20,2020-10-28,381.0
494.72,44.75,334.66,308.36,1081.17,1393.77,328.52,307.01,462.55,1066.15,1725.47,1537.3,729.14,978.41,1479.84,166.06,197.45,1936.97,241.25,268.05,656.76,1014.92,319.48,1028.03,204.95,204.38,1021.72,1750.96,379.39,542.85,238.94,216.19,450.09,404.61,444.94,549.98,160.89,869.15,1052.31,316.16,630.86,749.99,236.25,Nov-20,2020-11-28,381.0
499.55,45.4,336.24,309.07,1083.14,1405.72,327.17,304.51,467.64,1068.19,1728.47,1534.92,729.5,977.67,1482.61,167.48,196.7,1939.17,238.65,263.27,664.78,1011.83,320.01,1030.59,205.63,207.51,1025.4,1749.89,372.25,552.22,233.84,213.48,448.71,405.64,443.03,550.94,154.98,868.87,1057.97,310.1,639.88,749.8,233.48,Dec-20,2020-12-28,381.0
510.84,46.21,337.09,316.92,1091.82,1421.14,327.96,306.74,465.64,1069.52,1726.21,1536.5,729.71,967.46,1479.84,169.61,197.39,1927.54,243.76,265.55,672.42,1021.0,325.13,1031.11,210.74,214.68,1023.35,1758.18,356.29,564.31,230.32,212.35,448.7,401.41,442.17,551.57,148.32,868.65,1066.88,289.66,654.79,757.97,234.67,Jan-21,2021-01-28,381.0
518.3,47.35,351.68,331.48,1113.39,1435.87,326.61,308.07,462.42,1073.34,1728.66,1532.05,754.58,979.29,1512.67,172.35,195.2,1919.18,259.59,282.79,676.87,1042.66,319.25,1030.64,222.86,229.76,1038.13,1753.09,297.83,585.01,237.04,221.08,442.09,391.01,444.17,537.37,145.86,891.21,1062.07,269.18,667.43,758.55,242.82,Feb-21,2021-02-28,381.0
524.47,48.43,368.98,346.38,1130.8,1456.03,332.3,310.19,466.3,1084.84,1723.52,1532.21,765.8,992.3,1513.44,172.92,197.51,1926.86,274.03,293.97,667.67,1047.03,316.05,1034.27,233.92,237.6,1043.24,1755.92,285.23,578.17,243.13,228.18,443.23,393.92,443.36,544.21,152.53,911.83,1069.28,267.45,668.33,766.11,244.82,Mar-21,2021-03-28,381.0
530.4,49.14,378.82,359.64,1145.32,1481.24,332.95,306.16,472.19,1097.61,1735.54,1539.67,784.04,1003.54,1499.99,176.43,199.2,1928.22,276.33,299.18,689.19,1059.1,312.37,1053.54,233.48,238.52,1044.44,1743.4,294.84,578.86,253.02,243.37,442.39,399.07,441.85,540.58,157.76,910.3,1091.2,277.26,672.7,770.58,252.8,Apr-21,2021-04-28,381.0
541.53,49.99,439.22,407.23,1173.05,1513.43,337.83,310.81,470.16,1116.02,1755.26,1550.99,801.03,1026.76,1515.16,176.89,201.65,1944.8,301.88,318.7,703.36,1076.34,325.15,1083.71,248.86,256.28,1063.85,1769.93,307.53,593.36,265.66,256.13,445.23,397.8,441.49,544.09,172.63,927.54,1115.8,303.51,686.67,785.87,269.98,May-21,,
556.47,51.22,471.24,431.79,1220.33,1567.26,355.78,324.03,472.07,1140.68,1773.6,1566.6,809.24,1042.61,1540.76,180.07,207.68,1982.87,324.26,338.99,728.43,1106.05,356.44,1117.21,262.8,271.4,1087.71,1778.91,315.63,609.21,273.07,269.17,449.42,401.82,447.62,557.98,191.27,949.72,1151.08,335.46,712.95,803.9,287.54,Jun-21,,
577.55,52.73,485.44,444.21,1262.1,1660.76,361.11,335.67,477.08,1174.02,1837.44,1592.9,819.03,1080.13,1575.11,184.48,209.48,2049.66,329.2,347.7,768.81,1161.01,380.21,1201.57,275.82,280.63,1815.27,1144.76,322.08,635.31,296.05,277.73,462.35,411.97,456.0,552.8,199.86,1017.38,1327.44,414.83,739.32,830.6,308.72,Jul-21,,
585.64,53.2,496.03,457.98,1274.2,1698.18,366.69,342.78,477.39,1204.6,1868.95,1603.89,830.17,1109.63,1593.15,187.54,213.09,2091.34,323.01,341.81,812.7,1195.15,366.63,1249.86,270.79,275.28,1175.81,1833.68,302.88,668.71,290.96,270.7,468.77,409.97,460.33,546.71,195.87,1051.63,1375.61,396.38,769.45,869.64,305.48,Aug-21,,
604.99,54.62,492.13,461.59,1320.73,1768.14,384.73,351.95,473.75,1232.25,1879.83,1599.3,849.92,1125.99,1596.24,187.31,216.71,2109.81,301.58,322.44,844.42,1208.67,358.63,1280.77,264.59,266.98,1191.93,1844.74,298.94,709.5,284.9,256.22,463.04,410.01,454.28,546.77,192.07,1067.47,1426.42,342.25,812.94,911.88,306.87,Sep-21,,
614.89,55.49,478.76,464.74,1339.77,1768.78,382.77,359.6,475.54,1242.54,1892.34,1621.3,860.72,1144.01,1604.24,189.77,217.52,2128.91,292.57,321.57,852.32,1209.04,367.85,1284.86,266.23,267.45,1189.15,1851.16,306.07,727.21,287.89,261.59,465.64,415.03,463.38,553.23,192.14,1074.97,1424.58,347.47,825.46,912.72,313.05,Oct-21,,
629.82,57.35,490.19,476.76,1366.24,1812.03,404.2,366.46,480.65,1276.58,1946.38,1664.65,882.77,1179.82,1636.8,195.7,234.93,2164.76,302.28,329.21,890.15,1236.35,403.68,1318.9,272.42,273.9,1219.44,1898.13,340.99,775.11,284.47,260.72,469.53,421.02,476.67,568.75,202.25,1101.38,1451.35,349.6,876.47,950.6,327.53,Nov-21,,
